Número de mortos,Evento,País,Data,Tipo,Dia,Mês,Ano
16500.0,Deslizamento de terra de Khait,Tajiquistão,00-00-1949,Deslizamentos e avalanches,,,1949
5000.0,Avalanche de Huaraz 1941,Peru,00-00-1941,Deslizamentos e avalanches,,,1941
4000.0,Avalanche de Huascarán em 1962,Peru,00-00-1962,Deslizamentos e avalanches,,,1962
3466.0,1310 Deslizamento de terra em Hubei Ocidental,China,00-00-1310,Deslizamentos e avalanches,,,1310
3429.0,Deslizamentos de terra em Diexi em 1933,China,00-00-1933,Deslizamentos e avalanches,,,1933
4000.0,Tempestade de neve no Irã de 1972,Irã,00-00-1972,Nevascas,,,1972
3000.0,Marcha da Morte Caroleana,Noruega,00-00-1719,Nevascas,,,1719
926.0,Tempestade de neve no Afeganistão de 2008,Afeganistão,00-00-2008,Nevascas,,,2008
400.0,Grande nevasca de 1888,Estados Unidos,00-00-1888,Nevascas,,,1888
353.0,Grande Tempestade Apalachiana de 1950,Estados Unidos,00-00-1950,Nevascas,,,1950
318.0,Tempestade do Século de 1993,Estados Unidos,00-00-1993,Nevascas,,,1993
286.0,Dezembro de 1960 no nordeste,Estados Unidos,00-00-1960,Nevascas,,,1960
250.0,Tempestade nos Grandes Lagos de 1913,"Estados Unidos, Canadá",00-00-1913,Nevascas,,,1913
235.0,Nevasca na escola,Estados Unidos,00-00-1888,Nevascas,,,1888
201.0,Tempestade de neve norte-americana de 1966,Estados Unidos,00-00-1966,Nevascas,,,1966
2200000.0,Inundações na China de 1931,China,00-00-1931,Enchentes,,,1931
1450000.0,Inundação do Rio Amarelo (Huang He) de 1887,China,00-00-1887,Enchentes,,,1887
230000.0,Ruptura da Barragem Banqiao em 1975,China,00-00-1975,Enchentes,,,1975
145000.0,Inundação de Yangtze de 1935,China,00-00-1935,Enchentes,,,1935
100000.0,"Inundação de São Félix, tempestade",sagrado Império Romano,00-00-1530,Enchentes,,,1530
100000.0,Inundação do Rio Yangtze em 1911,China,00-00-1911,Enchentes,,,1911
100000.0,A enchente de 1099,"Holanda, Inglaterra",00-00-1099,Enchentes,,,1099
65000.0,"Inundação de Santa Lúcia, tempestade",sagrado Império Romano,00-00-1287,Enchentes,,,1287
60000.0,"Inundação do Mar do Norte, tempestade",sagrado Império Romano,00-00-1212,Enchentes,,,1212
70000.0,Onda de calor europeia de 2003,Europa,00-00-2003,Ondas de calor,,,2003
56000.0,Onda de calor russa de 2010,Rússia,00-00-2010,Ondas de calor,,,2010
9500.0,Onda de calor de 1901 no leste dos Estados Unidos,Estados Unidos,00-00-1901,Ondas de calor,,,1901
,Onda de calor nos Estados Unidos em 1988,Estados Unidos,00-00-1988,Ondas de calor,,,1988
3418.0,Onda de calor europeia de 2006,Europa,00-00-2006,Ondas de calor,,,2006
2541.0,Onda de calor na Índia em 1998,Índia,00-00-1998,Ondas de calor,,,1998
2500.0,Onda de calor indiana 2015,Índia,00-00-2015,Ondas de calor,,,2015
2000.0,Onda de calor no Paquistão 2015,Paquistão,00-00-2015,Ondas de calor,,,2015
3350.0,Onda de calor nos Estados Unidos em 1980,Estados Unidos,00-00-1980,Ondas de calor,,,1980
1718.0,Onda de calor japonesa de 2010,Japão,00-00-2010,Ondas de calor,,,2010
13.0,O tornado Daulatpur – Saturia,Bangladesh,00-00-1989,Tornados,,,1989
6950.0,O surto de tornado Tri-State,Estados Unidos,00-00-1925,Tornados,,,1925
6810.0,Tornado Dhaka 1973,Bangladesh,00-00-1973,Tornados,,,1973
6600.0,Tornado do Paquistão Oriental de 1969,Bangladesh,00-00-1969,Tornados,,,1969
6000.0,"O tornado Valletta, Malta",Malta,00-00-1551,Tornados,,,1551
5000.0,Os Tornados da Sicília,Itália,00-00-1851,Tornados,,,1851
5000.0,Tornado Narail-Magura,Bangladesh,00-00-1964,Tornados,,,1964
5000.0,Tornado Madaripur-Shibchar,Bangladesh,00-00-1977,Tornados,,,1977
4000.0,O surto de tornado da União Soviética em 1984,Rússia,00-00-1984,Tornados,,,1984
3170.0,O Grande Tornado Natchez,Estados Unidos,00-00-1840,Tornados,,,1840
227898.0,Tsunami do Oceano Índico de 2004,oceano Índico,26-12-2004,Tsunamis,26,12,2004
123000.0,Terremoto de 1908 em Messina,Itália,28-12-1908,Tsunamis,28,12,1908
78208.0,Erupção de 1883 do Krakatoa,Indonésia,26-08-1883,Tsunamis,26,08,1883
45000.0,Terremoto de 1755 em Lisboa,Portugal,01-11-1755,Tsunamis,01,11,1755
65000.0,Erupção minóica,Grécia,,Tsunamis,,,
31000.0,Terremoto Meiō 1498,Japão,20-09-1498,Tsunamis,20,09,1498
30000.0,Terremoto Hōei de 1707,Japão,28-10-1707,Tsunamis,28,10,1707
27122.0,Terremoto Sanriku de 1896,Japão,15-06-1896,Tsunamis,15,06,1896
25674.0,Terremoto de Arica de 1868,Chile,13-08-1868,Tsunamis,13,08,1868
27850.0,Terremoto em Creta 365,Grécia,21-07-365,Tsunamis,21,07,365
71000.0,Erupção de 1815 do Monte Tambora (ver também Ano Sem Verão),Indonésia,10-04-1815,Erupções vulcânicas,10,04,1815
36000.0,Erupção de 1883 do Krakatoa,Indonésia,26-08-1883,Erupções vulcânicas,26,08,1883
30000.0,Erupção do Monte Pelée em 1902,Martinica,07-05-1902,Erupções vulcânicas,07,05,1902
23000.0,Tragédia de Armero,Colômbia,13-11-1985,Erupções vulcânicas,13,11,1985
15000.0,Terremoto e tsunami de Unzen 1792,Japão,21-05-1792,Erupções vulcânicas,21,05,1792
13000.0,Erupção do Monte Vesúvio em 79 DC,Itália,00-00-79,Erupções vulcânicas,,,79
10000.0,Erupção Kelud de 1586,Indonésia,00-00-1586,Erupções vulcânicas,,,1586
6000.0,Erupção de Santa Maria em 1902,Guatemala,24-10-1902,Erupções vulcânicas,24,10,1902
5000.0,Kelud mudflow de 1919,Indonésia,19-05-1919,Erupções vulcânicas,19,05,1919
4011.0,Erupção Galunggung de 1822,Indonésia,00-00-1822,Erupções vulcânicas,,,1822
